award_id,generated_internal_id,recipient_name,recipient_uei,award_amount,total_obligation,potential_total_value,start_date,end_date,award_type,awarding_agency,awarding_sub_agency,funding_agency,naics_code,naics_description,psc_code,psc_description,pop_state,pop_city,pop_country,number_of_offers,extent_competed,description
FA853324F0061,CONT_AWD_FA853324F0061_9700_FA853423D0005_9700,"MSA SAFETY SALES, LLC",825079de-439e-5b6b-ffe2-da5678a23422-C,28573708.0,28573708.0,,2024-07-18,2026-12-15,DELIVERY ORDER,Department of Defense,Department of the Air Force,Department of Defense,339113,Surgical Appliance and Supplies Manufacturing,4240,SAFETY AND RESCUE EQUIPMENT,PA,CRANBERRY TOWNSHIP,UNITED STATES,,A,SELF-CONTAINED BREATHING APPARATUS (SCBA)
FA853423F0050,CONT_AWD_FA853423F0050_9700_FA853423D0005_9700,"MSA SAFETY SALES, LLC",825079de-439e-5b6b-ffe2-da5678a23422-C,17594030.0,17594030.0,,2023-03-30,2024-03-11,DELIVERY ORDER,Department of Defense,Department of the Air Force,Department of Defense,339113,Surgical Appliance and Supplies Manufacturing,4240,SAFETY AND RESCUE EQUIPMENT,PA,CRANBERRY TOWNSHIP,UNITED STATES,,A,SELF-CONTAINED BREATHING APPARATUS
70Z04024F62306B00,CONT_AWD_70Z04024F62306B00_7008_70Z04024D62301B00_7008,"MSA SAFETY SALES, LLC",825079de-439e-5b6b-ffe2-da5678a23422-C,15306957.92,15306957.92,,2024-09-25,2025-07-10,DELIVERY ORDER,Department of Homeland Security,U.S. Coast Guard,Department of Homeland Security,339112,Surgical and Medical Instrument Manufacturing,4240,SAFETY AND RESCUE EQUIPMENT,PA,CRANBERRY TOWNSHIP,UNITED STATES,,C,DELIVERY ORDER 70Z04024F62306B00 UNDER MSA CONTRACT 70Z04024D62301B00Y00 FOR G1 SELF CONTAINED BREATHING APPARATUS (SCBA) PARTS AND ASSEMBLIES.
FA853423F0045,CONT_AWD_FA853423F0045_9700_FA853423D0005_9700,"MSA SAFETY SALES, LLC",825079de-439e-5b6b-ffe2-da5678a23422-C,14744460.0,14744460.0,,2023-03-24,2025-08-15,DELIVERY ORDER,Department of Defense,Department of the Air Force,Department of Defense,339113,Surgical Appliance and Supplies Manufacturing,4240,SAFETY AND RESCUE EQUIPMENT,PA,CRANBERRY TOWNSHIP,UNITED STATES,,A,SELF-CONTAINED BREATHING APPARATUS
70Z04024F62138B00,CONT_AWD_70Z04024F62138B00_7008_70Z04024D62301B00_7008,"MSA SAFETY SALES, LLC",825079de-439e-5b6b-ffe2-da5678a23422-C,7093774.8,7093774.8,,2024-08-22,2024-11-22,DELIVERY ORDER,Department of Homeland Security,U.S. Coast Guard,Department of Homeland Security,339112,Surgical and Medical Instrument Manufacturing,4240,SAFETY AND RESCUE EQUIPMENT,PA,CRANBERRY TOWNSHIP,UNITED STATES,,C,1. CONTRACTOR SHALL PROVIDE SELF-CONTAINED BREATHING APPARATUS (SCBA) ASSEMBLY AND RELATED PARTS.
75A50121C00067,CONT_AWD_75A50121C00067_7505_-NONE-_-NONE-,"MSA SAFETY SALES, LLC",825079de-439e-5b6b-ffe2-da5678a23422-C,4062500.0,4062500.0,,2021-07-23,2022-02-22,DEFINITIVE CONTRACT,Department of Health and Human Services,Office of Assistant Secretary for Preparedness and Response,Department of Health and Human Services,339113,Surgical Appliance and Supplies Manufacturing,6515,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",GA,BLOOMINGDALE,UNITED STATES,27,A,PURCHASE ELASTOMERIC HALF MASK RESPIRATORS (EHMR) AND ADDITIONAL P100 FILTERS IN RESPONSE TO COVID-19.
N0010426FYY00,CONT_AWD_N0010426FYY00_9700_N0010423DYY01_9700,"MSA SAFETY SALES, LLC",825079de-439e-5b6b-ffe2-da5678a23422-C,3892411.0,3892411.0,,2025-10-27,2026-11-23,DELIVERY ORDER,Department of Defense,Department of the Navy,Department of Defense,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",6665,HAZARD-DETECTING INSTRUMENTS AND APPARATUS,PA,CRANBERRY TOWNSHIP,UNITED STATES,,C,STYX SENSOR MODULE
FA853325F0090,CONT_AWD_FA853325F0090_9700_FA853423D0005_9700,"MSA SAFETY SALES, LLC",825079de-439e-5b6b-ffe2-da5678a23422-C,3116396.0,3116396.0,,2025-07-09,2027-03-15,DELIVERY ORDER,Department of Defense,Department of the Air Force,Department of Defense,339113,Surgical Appliance and Supplies Manufacturing,4240,SAFETY AND RESCUE EQUIPMENT,PA,CRANBERRY TOWNSHIP,UNITED STATES,,A,SELF-CONTAINED BREATHING APPARATUS (SCBA)
FA853324F0077,CONT_AWD_FA853324F0077_9700_FA853423D0005_9700,"MSA SAFETY SALES, LLC",825079de-439e-5b6b-ffe2-da5678a23422-C,3016268.0,3016268.0,,2024-09-26,2027-01-15,DELIVERY ORDER,Department of Defense,Department of the Air Force,Department of Defense,339113,Surgical Appliance and Supplies Manufacturing,4240,SAFETY AND RESCUE EQUIPMENT,PA,CRANBERRY TOWNSHIP,UNITED STATES,,A,SELF-CONTAINED BREATHING APPARATUS (SCBA)
N0010423FYY01,CONT_AWD_N0010423FYY01_9700_N0010423DYY01_9700,"MSA SAFETY SALES, LLC",825079de-439e-5b6b-ffe2-da5678a23422-C,2907883.44,2907883.44,,2023-07-11,2024-06-05,DELIVERY ORDER,Department of Defense,Department of the Navy,Department of Defense,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",6625,ELECTRICAL AND ELECTRONIC PROPERTIES MEASURING AND TESTING INSTRUMENTS,PA,CRANBERRY TOWNSHIP,UNITED STATES,,C,STYX SENSOR MODULE
