jurisdiction,level,class,vendor,amount,date,agency,description,domain,dataset
data.delaware.gov,local,Via MSA fire dealer,MUNICIPAL EMERGENCY SERVICES,900.5,2022,GSS,FIRE FIGHTER PROTECTIVE CLOTHING,data.delaware.gov,Statewide Central Contract Spend
data.delaware.gov,local,Via MSA fire dealer,WITMER PUBLIC SAFETY GROUP INC,68092.0,2022,GSS,FIRE FIGHTER PROTECTIVE CLOTHING,data.delaware.gov,Statewide Central Contract Spend
data.delaware.gov,local,Via MSA fire dealer,WITMER PUBLIC SAFETY GROUP INC,68092.0,2022,GSS,FIRE FIGHTER PROTECTIVE CLOTHING,data.delaware.gov,Statewide Central Contract Spend
data.delaware.gov,local,Via MSA fire dealer,WITMER PUBLIC SAFETY GROUP INC,68092.0,2022,GSS,FIRE FIGHTER PROTECTIVE CLOTHING,data.delaware.gov,Statewide Central Contract Spend
datacatalog.cookcountyil.gov,local,Fire — unattributed,"AIR ONE EQUIPMENT, INC",17669.0,2017-09-12T00:00:00.000,1259.MEDICAL EXAMINER,SCBA HAZMAT,datacatalog.cookcountyil.gov,Procurement - Awarded Contracts & Amendments
data.oregon.gov,local,Via MSA fire dealer,"Municipal Emergency Services, Inc",19494.0,2019-04-30T00:00:00.000,257000,"SCBA Cylinders, Scott Snap-Change",data.oregon.gov,Archived: ORPIN - Contracts - Multi-Year Report
data.oregon.gov,local,Fire — unattributed,SeaWestern,59325.0,2019-11-12T00:00:00.000,257000,Self-Contained Breath Apparatus (SCBA),data.oregon.gov,Archived: ORPIN - Contracts - Multi-Year Report
data.oregon.gov,local,Fire — unattributed,SeaWestern,13000.0,2020-03-12T00:00:00.000,257000,Firefighter Turnout Gear,data.oregon.gov,Archived: ORPIN - Contracts - Multi-Year Report
data.oregon.gov,local,Competitor,CASCADE FIRE EQUIPMENT COMPANY,83050.0,2020-11-13T00:00:00.000,257000,"Scott Air-Pak X3 Pro SCBA for OSFM HazMat Team, Medford",data.oregon.gov,Archived: ORPIN - Contracts - Multi-Year Report
data.oregon.gov,local,Fire — unattributed,CASCADE FIRE EQUIPMENT COMPANY,70272.0,2021-02-09T00:00:00.000,257000,"3M Scott X3 Pro SCBA for OSFM HazMat Team, Astoria",data.oregon.gov,Archived: ORPIN - Contracts - Multi-Year Report
data.oregon.gov,local,Fire — unattributed,SeaWestern,60000.0,2017-09-13T00:00:00.000,257000,HazMat Team Breathing Apparatuses,data.oregon.gov,Archived: ORPIN - Contracts - Multi-Year Report
data.oregon.gov,local,MSA product spec'd,SeaWestern,45000.0,2018-11-14T00:00:00.000,257000,MSA G1 Breathing Apparatus and Other Equipment,data.oregon.gov,Archived: ORPIN - Contracts - Multi-Year Report
data.oregon.gov,local,Fire — unattributed,SeaWestern,12331.0,2019-03-25T00:00:00.000,257000,V-Force Fire Turnout Coats and Pants,data.oregon.gov,Archived: ORPIN - Contracts - Multi-Year Report
data.oregon.gov,local,Via MSA fire dealer,"Municipal Emergency Services, Inc",17904.0,2019-04-30T00:00:00.000,257000,"SCBA Cylinders, Scott Snap-Change",data.oregon.gov,Archived: ORPIN - Contracts - Multi-Year Report
data.oregon.gov,local,Fire — unattributed,CASCADE FIRE EQUIPMENT COMPANY,57928.0,2020-09-01T00:00:00.000,257000,Self-Contained Breath Apparatus (SCBA),data.oregon.gov,Archived: ORPIN - Contracts - Multi-Year Report
data.oregon.gov,local,MSA product spec'd,LN CURTIS & SONS,73007.0,2020-10-14T00:00:00.000,259000,MSA G1 SCBA System,data.oregon.gov,Archived: ORPIN - Contracts - Multi-Year Report
data.oregon.gov,local,Fire — unattributed,SeaWestern,5500.0,2015-11-09T00:00:00.000,259000,Turnout Bunker Gear,data.oregon.gov,Archived: ORPIN - Contracts - Multi-Year Report
New York State,state,Competitor,DRAEGER INC,1657868.91,2023-06-30T00:00:00.000,,COMMODITIES/SUPPLIES,data.ny.gov,Procurement Report for Local Authorities
"Chicago, IL",city,Fire — unattributed,"A F C INTERNATIONAL, INC.",8008.8,2001-09-24T00:00:00.000,CHICAGO POLICE DEPARTMENT,BREATHING APPARATUS,data.cityofchicago.org,Contracts
"Chicago, IL",city,Competitor,ENVIRONMENTAL SAFETY GROUP,59157.0,2009-03-01T00:00:00.000,CHICAGO FIRE DEPARTMENT,"MAINTENANCE, TESTING, CALIBRATION, REPAIR SERVICE, PARTS AND ACCESSORIES FOR DRAGER SELF-CONTAINED BREATHING APPARATUS (SCBA)",data.cityofchicago.org,Contracts
