jurisdiction,level,domain,vendor,amount,date,dataset
"Kansas City, MO",city,data.kcmo.org,MSA SAFETY INCORPORATED,358.0,2024-01-16T00:00:00.000,Vendor Payments Calendar Year 2024
"Kansas City, MO",city,data.kcmo.org,MSA SAFETY INCORPORATED,379.18,2024-01-16T00:00:00.000,Vendor Payments Calendar Year 2024
"Kansas City, MO",city,data.kcmo.org,MSA SAFETY INCORPORATED,358.0,2024-01-16T00:00:00.000,Vendor Payments Calendar Year 2024
"Kansas City, MO",city,data.kcmo.org,MSA SAFETY INCORPORATED,1089.23,2024-03-15T00:00:00.000,Vendor Payments Calendar Year 2024
"Kansas City, MO",city,data.kcmo.org,MSA SAFETY INCORPORATED,468.4,2024-09-17T00:00:00.000,Vendor Payments Calendar Year 2024
"Kansas City, MO",city,data.kcmo.org,MSA SAFETY INCORPORATED,8400.0,2024-11-26T00:00:00.000,Vendor Payments Calendar Year 2024
"Kansas City, MO",city,data.kcmo.org,MSA SAFETY INCORPORATED,468.4,2024-12-24T00:00:00.000,Vendor Payments Calendar Year 2024
"Kansas City, MO",city,data.kcmo.org,MSA SAFETY INCORPORATED,1439.67,2024-12-31T00:00:00.000,Vendor Payments Calendar Year 2024
"Kansas City, MO",city,data.kcmo.org,MSA SAFETY INCORPORATED,749.63,2026-02-06T00:00:00.000,Vendor Payments Calendar Year 2026
"Kansas City, MO",city,data.kcmo.org,MSA SAFETY INCORPORATED,7600.0,2026-06-26T00:00:00.000,Vendor Payments Calendar Year 2026
"Kansas City, MO",city,data.kcmo.org,MINE SAFETY APPLIANCES CO,1943.04,2016-02-17T00:00:00.000,Vendor Payments Calendar Year 2016
"Kansas City, MO",city,data.kcmo.org,MINE SAFETY APPLIANCES CO,1943.04,2016-02-17T00:00:00.000,Vendor Payments Calendar Year 2016
"Kansas City, MO",city,data.kcmo.org,MINE SAFETY APPLIANCES CO,869.17,2016-04-22T00:00:00.000,Vendor Payments Calendar Year 2016
"Kansas City, MO",city,data.kcmo.org,MINE SAFETY APPLIANCES CO,869.17,2016-04-22T00:00:00.000,Vendor Payments Calendar Year 2016
"Kansas City, MO",city,data.kcmo.org,MINE SAFETY APPLIANCES CO,2753.9,2016-05-06T00:00:00.000,Vendor Payments Calendar Year 2016
"Kansas City, MO",city,data.kcmo.org,MINE SAFETY APPLIANCES CO,2753.9,2016-05-06T00:00:00.000,Vendor Payments Calendar Year 2016
"Kansas City, MO",city,data.kcmo.org,MINE SAFETY APPLIANCES CO,2753.9,2016-05-06T00:00:00.000,Vendor Payments Calendar Year 2016
"Kansas City, MO",city,data.kcmo.org,MSA SAFETY INCORPORATED,1528.49,2023-02-10T00:00:00.000,Vendor Payments Calendar Year 2023
"Kansas City, MO",city,data.kcmo.org,MSA SAFETY INCORPORATED,1282.42,2023-03-10T00:00:00.000,Vendor Payments Calendar Year 2023
"Kansas City, MO",city,data.kcmo.org,MSA SAFETY INCORPORATED,521.71,2023-04-03T00:00:00.000,Vendor Payments Calendar Year 2023
